yr,month,payment_usd
2018,1,866637184.8399719
2018,2,447772555.45000416
2018,3,404921088.51998043
2018,4,436381177.80999416
2018,5,367900438.8899802
2018,6,306593448.2800035
2018,7,354132548.1099968
2018,8,321418129.7399985
2018,9,258594448.18999806
2018,10,338503086.61
2018,11,362463964.9899965
2018,12,424116969.1399975
